Bird #,AC,L,VC,RT,CT,AC SEM,L SEM,VC SEM,RT SEM,CT SEM
13677L.lvm,1.53180857,2.45419186,5.70428857,0.22243,0.11505,0.00053465,0.00056038,0.00053465,0,0
13677R.lvm,1.64357143,2.37609871,5.72949,0.27831143,0.16107,0.00053465,0.00061386,0.00063261,0.00053465,0
13678L.lvm,1.43173333,2.508168,5.52879167,0.23137833,0.13933833,0.00066013,0,0.00052188,0.00052188,0.00052188
13678R.lvm,1.57746333,2.44921533,5.59270833,0.27739833,0.149565,0.00066013,0.00069189,0.00052188,0.00052188,0.00070017
13679L.lvm,1.57916778,2.45010856,5.77039667,0.23606556,0.1534,0.00066621,0.00039387,0.00042611,0.00037579,0
13679R.lvm,1.61837,2.459934,5.81386,0.27612,0.13806,0,0,0,0,0
13680L.lvm,1.5282475,2.36447087,5.7467475,0.23489375,0.15052375,0.00067794,0.00064399,0.00044382,0.0004962,0.0004962
13680R.lvm,1.50889818,2.60171273,5.73925182,0.22382455,0.11644455,0.00045091,0.00081856,0.00063071,0.00028206,0.00042047
13681L.lvm,1.44451667,2.443856,5.55947167,0.22370833,0.15851333,0.00066013,0,0.00052188,0.00052188,0.00104375
13681R.lvm,1.55701,2.4245624,5.71415,0.250042,0.194818,0,0.00088063,0,0.00084021,0.00084021
13682L.lvm,1.60303,2.36805971,5.59690857,0.26625857,0.16435714,0,0.00061386,0.00082828,0.00053465,0.00058568
13682R.lvm,1.68520857,2.45419186,5.58595143,0.23777,0.18079286,0.00082828,0.00086813,0.00053465,0,0.00058568
13683L.lvm,1.53518,2.49641869,5.48051,0.24721,0.17228,0.00032727,0.00032086,0.00030614,0.00025873,0.00051746
13683R.lvm,1.48867727,2.65652409,5.47986636,0.24195364,0.10947182,0.00037608,0.00050248,0.00036414,0.00036414,0.00063071
13684L.lvm,1.553942,2.5515786,5.6758,0.2301,0.154934,0.00084021,0.00088063,0,0,0.00068603
13684R.lvm,1.53539455,2.60682845,5.7525,0.23567818,0.10389364,0.00081424,0.00098544,0.00044099,0.0003257,0.00036414
13685L.lvm,1.384435,2.56142637,5.5665025,0.2301,0.1169675,0.00051247,0.00074765,0.00044382,0,0.00044382
13685R.lvm,1.473407,2.6713597,5.611372,0.238537,0.14573,0.00098689,0.00085161,0.00039608,0.00024255,0.00062625
13686L.lvm,1.53290429,2.66550271,5.92671857,0.22023857,0.10738,0.00098585,0.00061386,0.00053465,0.00053465,0
13686R.lvm,1.538602,2.7605926,5.841472,0.225498,0.110448,0.00084021,0.00088063,0.00084021,0.00084021,0.00084021
13687L.lvm,1.41128,2.6408115,5.77423167,0.22370833,0.09843167,0.00080849,0.00073386,0.00052188,0.00052188,0.00052188
13687R.lvm,1.64393667,2.49342983,5.76144833,0.28123333,0.13806,0.00066013,0.00054698,0.00052188,0.00066013,0
13688L.lvm,1.39338333,2.5202265,5.40607167,0.249275,0.11249333,0.00066013,0.00073386,0.00096229,0.00070017,0.00066013
13688R.lvm,1.59536,2.40634067,5.5224,0.26504111,0.14743444,0.00060261,0.0006316,0.00073805,0.00044916,0.00037579
13689L.lvm,1.37932167,2.44921533,5.44058667,0.218595,0.17641,0.00052188,0.00069189,0.00066013,0.00070017,0
13689R.lvm,1.405911,2.6102633,5.394311,0.250042,0.114283,0.00072764,0.00085161,0.00051769,0.00039608,0.00024255
