Bird #,AC,L,VC,RT,CT,AC SEM,L SEM,VC SEM,RT SEM,CT SEM
14601_L.lvm,1.485679,2.56243125,5.4468505,0.2511925,0.160303,0.0009805,0.0008736,0.0008555,0.00021097,0.00017151
14601_R.lvm,1.5205775,2.52474844,5.69881,0.23777,0.10785938,0.00090109,0.00072157,0.00017504,0,0.00037003
14602_L.lvm,1.5550925,2.56645075,5.63409438,0.23729063,0.0977925,0.00061887,0.00096209,0.00085697,0.00032601,0.00021438
14602_R.lvm,1.561612,2.5692644,5.632848,0.242372,0.113516,0.00084021,0.00088063,0.00084021,0.00084021,0.00068603
14603_L.lvm,1.64819778,2.41437967,6.02435889,0.22498667,0.12016333,0.00051212,0.00089322,0.00075159,0.00042611,0.00042611
14603_R.lvm,1.54934,2.61446144,5.90334333,0.23862222,0.27441556,0.00073805,0.00059548,0.00073805,0.00028407,0.0009314
14604_L.lvm,1.43429,2.3055852,5.589896,0.269984,0.11505,0,0.00071903,0.00068603,0.00068603,0
14604_R.lvm,1.329978,2.4406404,5.628246,0.22243,0.127322,0.00084021,0.00088063,0.00068603,0,0.00084021
14605_L.lvm,1.44291875,2.38557325,5.42269,0.26749125,0.10833875,0.0008001,0.00089073,0.00088763,0.0008001,0.00033897
14605_R.lvm,1.48326,2.38139915,5.42505,0.25134,0.14868,0.00029876,0.00044834,0.0007762,0.00076752,0.00094947
14608_L.lvm,1.48734083,2.556402,5.55180167,0.21412083,0.16426583,0.00057547,0.00085696,0.00053361,0.00018451,0.00032913
14608_R.lvm,1.42243636,2.52497682,5.69811273,0.23079727,0.13806,0.00065139,0.00089235,0.00021024,0.00021024,0.00044099
14649L.lvm,1.57490667,2.39294233,5.7007275,0.26717167,0.12016333,0.00062941,0.00096165,0.00048179,0.00045876,0.00062941
14649R.lvm,1.70901545,2.38246727,5.77411545,0.24544,0.18965818,0.00097709,0.00049272,0.00028206,0,0.00045091
14650L.lvm,1.466504,2.5499708,5.487118,0.239304,0.102778,0.00068603,0.00071903,0.00084021,0.00068603,0.00084021
14650R.lvm,1.53314778,2.55550878,5.42609889,0.24373556,0.11505,0.00066621,0.00069826,0.00044916,0.00037579,0
14651L.lvm,1.48031,2.50701957,5.69442714,0.23996143,0.10409286,0,0.00043407,0.00058568,0.00053465,0.0008621
14651R.lvm,1.56687143,2.51276171,5.69881,0.26297143,0.16326143,0.00053465,0.00090358,0.00063261,0.00053465,0.00053465
14652L.lvm,1.63882333,2.38222367,6.12321667,0.24288333,0.16362667,0.00066013,0.00069189,0.00066013,0.00066013,0.00066013
14652R.lvm,1.6202875,2.59961162,6.0688875,0.21380125,0.126555,0.00084984,0.00074765,0.00044382,0.00033897,0.00051247
14653L.lvm,1.52728875,2.51821675,5.54253375,0.23105875,0.0977925,0.00033897,0.00046517,0.0004962,0.00033897,0.00084984
14653R.lvm,1.54422667,2.596597,5.5224,0.22839556,0.10226667,0.00073805,0.00077355,0,0.00082821,0.00060261
14654L.lvm,1.481844,2.4647574,5.494788,0.234702,0.196352,0.00068603,0.00088063,0.00084021,0.00084021,0.00084021
14654R.lvm,1.54678333,2.47333233,5.54541,0.24884889,0.21135111,0.00085222,0.00099865,0.00073805,0.00044916,0.00044916
14655L.lvm,1.56248857,2.44844971,5.67360857,0.26078,0.10738,0.00053465,0.00090358,0.00053465,0,0
14655R.lvm,1.53911333,2.6086555,5.76784,0.24416167,0.09331833,0.00066013,0.00073386,0,0.00052188,0.00052188
