Bird #,AC,L,VC,RT,CT,AC SEM,L SEM,VC SEM,RT SEM,CT SEM
14601L.lvm,1.43538571,2.24632629,5.30983143,0.26187571,0.13586857,0.00098585,0.00061386,0.00053465,0.00041414,0.00053465
14601R.lvm,1.46935286,2.186608,5.18820714,0.29474714,0.20270714,0.0008621,0.00093769,0.00058568,0.00058568,0.00058568
14602L.lvm,1.55061833,2.266998,5.26801167,0.287625,0.17513167,0.00052188,0,0.00052188,0.00070017,0.00052188
14602R.lvm,1.62859667,2.23901037,5.18349963,0.27299519,0.23862222,0.00094546,0.00084767,0.00040203,0.00014224,0.00022744
14603L.lvm,1.49394556,2.31835828,5.49981611,0.25097944,0.149565,0.00095344,0.00063418,0.00027234,0.00019639,0.00021923
14603R.lvm,1.56750579,2.24372721,5.42713053,0.25916526,0.18004316,0.0005248,0.00052572,0.00038804,0.00016908,0.00024696
14604L.lvm,1.346085,2.10085867,5.11461167,0.25566667,0.15212167,0.00070017,0.00069189,0.00052188,0.00066013,0.00052188
14604R.lvm,1.49631696,2.0611297,5.0652013,0.25344348,0.13239087,0.00095342,0.0008926,0.0006874,0.00025592,0.00020649
14605L.lvm,1.4108965,2.21434255,5.0602825,0.24544,0.144963,0.00096759,0.00088904,0.00052605,0.00030477,0.00024572
14605R.lvm,1.41479542,2.20436079,5.01266458,0.2588625,0.16043083,0.00066624,0.00069829,0.00043165,0.00014136,0.00018651
14608L.lvm,1.52834842,2.13710468,5.18128684,0.24019211,0.17479526,0.00091107,0.00083751,0.00020709,0.00038185,0.00031783
14608R.lvm,1.38388714,2.28039633,5.16958,0.23557857,0.1811581,0.00018521,0.00090048,0.00067347,0.00016907,0.00021534
14649L.lvm,1.558544,2.1753534,5.370534,0.25311,0.196352,0.00068603,0.00088063,0.00068603,0,0.00084021
14649R.lvm,1.54386143,2.20153757,5.34818143,0.25530143,0.15449571,0.00053465,0.00079249,0.00082828,0.00053465,0.00075611
14650L.lvm,1.445795,2.275037,5.11077667,0.25438833,0.15084333,0.00070017,0.00084739,0.00066013,0.00052188,0.00066013
14650R.lvm,1.36430125,2.40567075,5.05932375,0.24544,0.1284725,0.00061443,0.00071055,0.0004962,0,0.00067794
14651L.lvm,1.382901,2.3658777,5.370534,0.253877,0.131924,0.00063145,0.00093212,0.00094285,0.00024255,0.00060502
14651R.lvm,1.36526,2.500129,5.27014222,0.23095222,0.12612889,0.00073805,0.00099865,0.00028407,0.00066621,0.00086398
14652L.lvm,1.46667444,2.30540656,5.61614444,0.25225778,0.15510444,0.00071019,0.00059548,0.00037579,0.00028407,0.00037579
14652R.lvm,1.48031,2.41069512,5.58663625,0.21476,0.1208025,0.00051247,0.00064399,0.0004962,0,0.00044382
14653L.lvm,1.484145,2.22010383,5.21687833,0.29146,0.195585,0.00070017,0.00054698,0.00052188,0,0.00070017
14653R.lvm,1.40190556,2.34381511,5.25735889,0.24203111,0.13465111,0.00056815,0.00090554,0.00044916,0.00044916,0.00086398
14654L.lvm,1.48158833,2.210725,5.07754,0.27867667,0.18280167,0.00052188,0,0,0.00066013,0.00052188
14654R.lvm,1.47038412,2.22869453,5.10912235,0.26709647,0.14798588,0.00070916,0.00071968,0.00098179,0.00080132,0.00044449
14655L.lvm,1.53655667,2.21742417,5.39712333,0.256945,0.149565,0.00066013,0.00054698,0.00066013,0.00070017,0.00070017
14655R.lvm,1.45072571,2.41284843,5.38214857,0.23119571,0.12929429,0.00075611,0.00079249,0.00053465,0.00041414,0.00041414
