Bird #,AC,L,VC,RT,CT,AC SEM,L SEM,VC SEM,RT SEM,CT SEM
13676L.lvm,1.59706444,2.57158678,5.92720556,0.23095222,0.17641,0.00037579,0.00053676,0.00037579,0.00028407,0
13676R.lvm,1.715779,2.4727964,6.085378,0.262314,0.121953,0.0003705,0.00041513,0.00039608,0.0003234,0.00024255
14611L.lvm,1.46369167,2.61535467,5.46871,0.21987333,0.14317333,0.00052188,0.00069189,0,0.00066013,0.00066013
14611R.lvm,1.56595833,2.45055517,5.54413167,0.25183167,0.19814167,0.00052188,0.00054698,0.00052188,0.00052188,0.00052188
14612L.lvm,1.514825,2.50515337,5.694975,0.23297625,0.17641,0.00051247,0.00052007,0.00051247,0.0004962,0.00051247
14612R.lvm,1.50971167,2.52692567,5.70648,0.241605,0.11632833,0.00052188,0.00069189,0,0.00070017,0.00096229
14662L.lvm,1.540903,2.4744042,5.852977,0.234702,0.134225,0.00091827,0.00050843,0.00043538,0.00097019,0.00074539
14662R.lvm,1.599195,2.5017368,5.95192,0.250809,0.141895,0.00074539,0.00098821,0.00088566,0.0003705,0.00065182
14663L.lvm,1.50246778,2.53139178,5.58120333,0.21902111,0.12953778,0.00051212,0.00069826,0.00060261,0.00044916,0.00051212
14663R.lvm,1.478776,2.6223218,5.669664,0.22243,0.124254,0.00068603,0.00071903,0.00068603,0,0.00068603
14664L.lvm,1.59974286,2.43811386,5.77441429,0.25968429,0.14134714,0.0008621,0.00086813,0.00041414,0.00041414,0.00058568
14664R.lvm,1.68654778,2.44474922,5.89141222,0.25566667,0.17470556,0.00051212,0.00053676,0.00028407,0.00042611,0.00037579
14665L.lvm,1.50332,2.50102222,5.54796667,0.22754333,0.15084333,0.00042611,0.00029774,0.00042611,0.00042611,0.00042611
14665R.lvm,1.58440286,2.48634786,5.64731143,0.24434429,0.16216571,0.00058568,0.00056038,0.00053465,0.00041414,0.00041414
14666L.lvm,1.51951222,2.49119678,5.25650667,0.25055333,0.12783333,0.00066621,0.00069826,0.00042611,0.00042611,0.00060261
14666R.lvm,1.68867833,2.36078633,5.480215,0.25055333,0.13166833,0.00052188,0.00069189,0.00070017,0.00066013,0.00052188
14667L.lvm,1.57362833,2.49744933,5.70775833,0.24416167,0.13039,0.00052188,0.00069189,0.00052188,0.00052188,0
14667R.lvm,1.67206,2.45089012,5.81865375,0.25598625,0.1246375,0.00051247,0.00064399,0.00087834,0.00087834,0.00044382
14691L.lvm,1.4131975,2.588558,5.49076125,0.22243,0.10738,0.00044382,0,0.00033897,0,0
14691R.lvm,1.471106,2.4856588,5.53774,0.27612,0.13039,0.00068603,0.00071903,0,0,0
14692L.lvm,1.48318625,2.52726062,5.4361125,0.23105875,0.13134875,0.0004962,0.00052007,0.00044382,0.00033897,0.00033897
14692R.lvm,1.50750364,2.48916673,5.54750182,0.24125636,0.12202273,0.00065139,0.00067558,0.00045091,0.00036414,0.00095882
14693L.lvm,1.59599917,2.427778,5.57864667,0.24799667,0.17704917,0.00069262,0.00069971,0.0003147,0.0003147,0.00088138
14693R.lvm,1.49138889,2.59034444,5.73886444,0.24373556,0.15595667,0.00044916,0.00059548,0.00037579,0.00037579,0.00042611
