Bird #,AC,L,VC,RT,CT,AC SEM,L SEM,VC SEM,RT SEM,CT SEM
13676L.lvm,1.499485,2.363466,5.54541,0.24064625,0.18408,0.00051247,0,0,0.0004962,0
13676R.lvm,1.491815,2.379544,5.62211,0.26078,0.118885,0.00070017,0,0,0,0.00070017
14611L.lvm,1.414348,2.3039774,5.201794,0.23777,0.16107,0.00084021,0.00088063,0.00068603,0,0
14611R.lvm,1.417416,2.2766448,5.20793,0.23777,0.170274,0.00068603,0.00071903,0,0,0.00068603
14612L.lvm,1.44622111,2.21697756,5.26162,0.28208556,0.19856778,0.00044916,0.00059548,0.00085222,0.0009314,0.00066621
14612R.lvm,1.375998,2.3264866,5.241678,0.243906,0.177944,0.00084021,0.00088063,0.00084021,0.00068603,0.00068603
14662L.lvm,1.48627556,2.29290144,5.45337,0.24544,0.12698111,0.00037579,0.00039387,0,0,0.00044916
14662R.lvm,1.4515475,2.3996415,5.5013075,0.22147125,0.111215,0.00067794,0.00053713,0.00044382,0.00033897,0.00051247
14663L.lvm,1.44196,2.2734292,5.171114,0.25311,0.171808,0,0.00071903,0.00068603,0,0.00084021
14663R.lvm,1.42150667,2.33398967,5.17980667,0.24288333,0.17641,0.00066013,0.00069189,0.00066013,0.00066013,0
14664L.lvm,1.484145,2.3618582,5.467943,0.236236,0.118118,0.00040424,0.00050843,0.00056594,0.00070482,0.00039608
14664R.lvm,1.80025857,2.10047586,5.58704714,0.24763143,0.16545286,0.00053465,0.00056038,0.00058568,0.00053465,0.00058568
14665L.lvm,1.39466167,2.34872783,5.22071333,0.23265667,0.16234833,0.00052188,0.00054698,0.00066013,0.00066013,0.00052188
14665R.lvm,1.4170325,2.395622,5.204095,0.22243,0.14860625,0.0009924,0.00075961,0.00051247,0,0.0004962
14666L.lvm,1.42917667,2.283076,5.00403583,0.28379,0.1553175,0.00041631,0.00098953,0.00074431,0,0.00098738
14666R.lvm,1.269385,2.53563458,5.10885917,0.22946083,0.13742083,0.00050988,0.00053122,0.00042732,0.00018451,0.00018451
14667L.lvm,1.4438775,2.283076,5.33065,0.25311,0.1476475,0.00095875,0,0,0,0.00095875
14667R.lvm,1.4573,2.307193,5.369,0.25183167,0.14573,0,0,0,0.00052188,0
14691L.lvm,1.386736,2.2557434,5.083676,0.242372,0.16874,0.00068603,0.00088063,0.00068603,0.00084021,0
14691R.lvm,1.374464,2.4117,5.042258,0.225498,0.182546,0.00068603,0,0.00084021,0.00084021,0.00068603
14692L.lvm,1.41534059,2.22491147,5.02430118,0.26258471,0.11685471,0.00081521,0.00099656,0.00086596,0.00043771,0.00049242
14692R.lvm,1.40032286,2.23713886,5.12027286,0.26406714,0.09751857,0.00058568,0.00086813,0.00058568,0.00058568,0.00053465
14693L.lvm,1.46058714,2.28077914,5.23532286,0.25091857,0.15668714,0.0008621,0.00086813,0.0008621,0.00053465,0.0008621
14693R.lvm,1.42771571,2.34279429,5.25395,0.24434429,0.14682571,0.00041414,0.00061386,0,0.00041414,0.00041414
